0002,0000;FileMetaInfoGroupLength
0002,0001;FileMetaInfoVersion
0002,0002;MediaStorageSOPClassUID
0002,0003;MediaStorageSOPInstanceUID
0002,0010;TransferSyntaxUID
0002,0012;ImplementationClassUID
0002,0013;ImplementationVersionName
0002,0016;SourceApplicationEntityTitle
0002,0100;PrivateInformationCreatorUID
0002,0102;PrivateInformation
0004,1130;FileSetID
0004,1141;FileSetDescriptorFileID
0004,1142;SpecificCharacterSetOfFile
0004,1200;FirstDirectoryRecordOffset
0004,1202;LastDirectoryRecordOffset
0004,1212;FileSetConsistencyFlag
0004,1220;DirectoryRecordSequence
0004,1400;OffsetOfNextDirectoryRecord
0004,1410;RecordInUseFlag
0004,1420;LowerLevelDirectoryEntityOffset
0004,1430;DirectoryRecordType
0004,1432;PrivateRecordUID
0004,1500;ReferencedFileID
0004,1504;MRDRDirectoryRecordOffset
0004,1510;ReferencedSOPClassUIDInFile
0004,1511;ReferencedSOPInstanceUIDInFile
0004,1512;ReferencedTransferSyntaxUIDInFile
0004,151A;ReferencedRelatedSOPClassUIDInFile
0004,1600;NumberOfReferences
0008,0000;IdentifyingGroupLength
0008,0001;LengthToEnd
0008,0005;SpecificCharacterSet
0008,0006;LanguageCodeSequence
0008,0008;ImageType
0008,0010;RecognitionCode
0008,0012;InstanceCreationDate
0008,0013;InstanceCreationTime
0008,0014;InstanceCreatorUID
0008,0016;SOPClassUID
0008,0018;SOPInstanceUID
0008,001A;RelatedGeneralSOPClassUID
0008,001B;OriginalSpecializedSOPClassUID
0008,0020;StudyDate
0008,0021;SeriesDate
0008,0022;AcquisitionDate
0008,0023;ContentDate
0008,0024;OverlayDate
0008,0025;CurveDate
0008,002A;AcquisitionDateTime
0008,0030;StudyTime
0008,0031;SeriesTime
0008,0032;AcquisitionTime
0008,0033;ContentTime
0008,0034;OverlayTime
0008,0035;CurveTime
0008,0040;DataSetType
0008,0041;DataSetSubtype
0008,0042;NuclearMedicineSeriesType
0008,0050;AccessionNumber
0008,0052;QueryRetrieveLevel
0008,0054;RetrieveAETitle
0008,0056;InstanceAvailability
0008,0058;FailedSOPInstanceUIDList
0008,0060;Modality
0008,0061;ModalitiesInStudy
0008,0062;SOPClassesInStudy
0008,0064;ConversionType
0008,0068;PresentationIntentType
0008,0070;Manufacturer
0008,0080;InstitutionName
0008,0081;InstitutionAddress
0008,0082;InstitutionCodeSequence
0008,0090;ReferringPhysicianName
0008,0092;ReferringPhysicianAddress
0008,0094;ReferringPhysicianTelephoneNumber
0008,0096;ReferringPhysicianIDSequence
0008,0100;CodeValue
0008,0102;CodingSchemeDesignator
0008,0103;CodingSchemeVersion
0008,0104;CodeMeaning
0008,0105;MappingResource
0008,0106;ContextGroupVersion
0008,0107;ContextGroupLocalVersion
0008,010B;ContextGroupExtensionFlag
0008,010C;CodingSchemeUID
0008,010D;ContextGroupExtensionCreatorUID
0008,010F;ContextIdentifier
0008,0110;CodingSchemeIDSequence
0008,0112;CodingSchemeRegistry
0008,0114;CodingSchemeExternalID
0008,0115;CodingSchemeName
0008,0116;ResponsibleOrganization
0008,0117;ContextUID
0008,0201;TimezoneOffsetFromUTC
0008,1000;NetworkID
0008,1010;StationName
0008,1030;StudyDescription
0008,1032;ProcedureCodeSequence
0008,103E;SeriesDescription
0008,1040;InstitutionalDepartmentName
0008,1048;PhysiciansOfRecord
0008,1049;PhysiciansOfRecordIDSequence
0008,1050;PerformingPhysicianName
0008,1052;PerformingPhysicianIDSequence
0008,1060;NameOfPhysicianReadingStudy
0008,1062;PhysicianReadingStudyIDSequence
0008,1070;OperatorsName
0008,1072;OperatorIDSequence
0008,1080;AdmittingDiagnosesDescription
0008,1084;AdmittingDiagnosesCodeSequence
0008,1090;ManufacturersModelName
0008,1100;ReferencedResultsSequence
